dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
36,578,2024-02-08T20:04:14.000000,-6.6667,86.0,9200.0,45.16583,-111.35944
37,584,2024-02-08T19:38:54.000000,0.0,79.0,5085.0,42.72194,-120.75278
38,607,2024-02-08T19:33:34.000000,9.4444,66.0,1403.0,37.865,-122.22083
39,630,2024-02-08T19:28:54.000000,4.4444,85.0,2428.0,39.66796,-123.32129
40,683,2024-02-08T20:23:41.000000,17.7778,48.0,7.0,32.17166,-81.11996
41,692,2024-02-08T19:55:04.000000,11.1111,61.0,1260.0,34.12486,-118.41257
42,699,2024-02-08T20:22:41.000000,12.7778,90.0,3805.0,21.14083,-156.90232
43,702,2024-02-08T19:38:04.000000,4.4444,52.0,0.0,44.06667,-68.64167
44,709,2024-02-08T19:54:39.000000,6.1111,58.0,3090.0,41.67576,-122.5999
45,718,2024-02-08T19:28:24.000000,2.2222,84.0,3308.0,40.78642,-122.80449
46,724,2024-02-08T20:14:14.000000,15.5556,48.0,300.0,34.7775,-88.16528
47,732,2024-02-08T15:50:04.000000,5.5556,94.0,2395.0,32.6675,-116.69944
48,752,2024-02-08T19:38:14.000000,0.0,89.0,5846.0,37.13887,-112.44782
49,753,2024-02-08T20:09:14.000000,17.2222,66.0,370.0,33.98583,-89.79667
50,765,2024-02-08T20:06:14.000000,-3.8889,77.0,7137.0,44.38556,-115.5505
51,766,2024-02-08T19:53:55.000000,2.2222,89.0,3280.0,48.66389,-117.48194
52,768,2024-02-08T20:00:34.000000,7.7778,72.0,1861.0,37.32927,-121.29538
53,790,2024-02-08T19:56:34.000000,8.8889,53.0,2760.0,34.72832,-118.39406
54,807,2024-02-08T20:02:21.000000,5.5556,3.0,3608.0,42.72559,-115.60981
55,850,2024-02-08T20:19:34.000000,14.4444,33.0,481.0,33.64727,-83.29462
56,859,2024-02-07T11:11:54.000000,-0.5556,100.0,2375.0,46.36207,-102.06205
57,861,2024-02-08T19:54:59.000000,8.8889,72.0,268.0,39.58983,-121.63516
58,876,2024-02-08T20:07:15.000000,16.1111,43.0,512.0,36.06611,-88.16861
59,880,2024-02-08T20:09:44.000000,-11.1111,75.0,2134.0,64.65417,-146.92606
60,913,2024-02-08T20:22:12.000000,2.7778,49.0,4904.0,43.44631,-115.35639
61,938,2024-02-08T20:09:44.000000,0.0,96.0,5370.0,37.05143,-111.964
62,952,2024-02-08T20:06:44.000000,4.4444,78.0,3000.0,48.91667,-115.65667
63,970,2024-02-08T19:31:54.000000,5.0,74.0,3365.0,41.10948,-122.69747
64,971,2024-02-08T20:22:17.000000,3.8889,41.0,3058.0,44.17705,-116.29036
65,980,2024-02-08T20:05:34.000000,12.7778,51.0,1162.0,45.43778,-91.11697
66,987,2024-02-08T19:33:44.000000,1.6667,96.0,6043.0,38.34233,-120.36469
67,996,2024-02-08T19:39:04.000000,-5.0,91.0,8680.0,37.85472,-109.83889
68,1002,2024-02-08T19:33:04.000000,10.5556,65.0,1095.0,37.78611,-122.14472
69,1019,2024-02-08T19:51:54.000000,-10.0,87.0,1480.0,62.82278,-156.61389
70,1045,2024-02-08T19:46:45.000000,3.8889,48.0,5555.0,42.9489,-108.6107
71,1048,2024-02-08T19:55:54.000000,18.3333,39.0,552.0,37.2734,-87.20219
72,1057,2024-02-08T19:36:14.000000,0.0,97.0,4613.0,38.90417,-120.70522
73,1085,2024-02-08T19:51:54.000000,-1.1111,87.0,5859.0,41.26909,-123.18897
74,1107,2024-02-08T19:48:14.000000,5.5556,70.0,2929.0,41.47892,-122.45462
75,1111,2024-02-08T19:43:24.000000,16.1111,23.0,1720.0,36.535,-84.81
76,1112,2024-02-08T16:39:44.000000,20.0,82.0,443.0,30.04828,-97.11481
77,1147,2024-02-08T19:56:24.000000,-3.3333,43.0,9578.0,39.56,-105.98556
78,1161,2024-02-08T19:58:28.000000,7.7778,72.0,1144.0,42.49975,-123.36917
79,1172,2024-02-08T20:07:04.000000,16.6667,50.0,439.0,35.37132,-88.82893
80,1204,2024-02-08T20:03:54.000000,1.1111,97.0,3240.0,48.49028,-117.43583
81,1238,2024-02-08T20:09:24.000000,20.0,63.0,98.0,30.45111,-89.45444
82,1239,2024-02-08T19:30:14.000000,0.0,96.0,4926.0,37.03728,-112.52472
83,1252,2024-02-08T20:17:25.000000,23.8889,49.0,10.0,26.44083,-82.10472
84,1258,2024-02-08T19:45:34.000000,6.6667,70.0,1500.0,39.82497,-123.08431
85,1275,2024-02-08T19:29:54.000000,2.2222,59.0,3986.0,45.10392,-108.21972
86,1300,2024-02-08T20:12:54.000000,7.7778,63.0,1797.0,44.925,-123.46944
87,1307,2024-02-08T14:17:24.000000,9.4444,26.0,1642.0,38.63611,-80.61972
88,1316,2024-02-08T20:09:35.000000,1.6667,81.0,5650.0,46.43958,-114.22682
89,1330,2024-02-08T19:57:24.000000,5.0,86.0,1900.0,48.13623,-118.97241
90,1369,2024-02-08T19:55:14.000000,5.5556,69.0,4000.0,34.35325,-118.41858
91,1373,2024-02-08T19:25:31.000000,-3.6111,80.0,7360.0,44.45667,-110.84944
92,1426,2024-02-08T19:35:34.000000,3.8889,100.0,3770.0,35.18523,-120.08499
93,1439,2024-02-08T20:06:05.000000,0.0,94.0,2176.0,45.61427,-101.06287
94,1451,2024-02-08T19:31:34.000000,22.7778,49.0,72.0,29.25553,-82.07456
95,1461,2024-02-08T19:36:44.000000,-0.5556,99.0,5725.0,37.07737,-112.04716
96,1462,2024-02-08T14:15:44.000000,0.5556,76.0,1130.0,39.29917,-78.64944
97,1476,2024-02-08T19:26:04.000000,7.2222,57.0,2880.0,34.63436,-117.54889
98,1479,2024-02-08T19:33:24.000000,-1.6667,92.0,7399.0,39.33819,-120.27339
99,1496,2024-02-08T20:06:54.000000,15.0,41.0,706.0,36.065,-87.28306
100,1522,2024-02-08T14:16:31.000000,7.2222,46.0,1142.0,40.55876,-80.55009
101,1532,2024-02-08T20:23:01.000000,17.2222,65.0,3129.0,19.10075,-155.66961
102,1575,2024-02-08T19:31:29.000000,11.1111,31.0,2317.0,42.89142,-73.0393
103,1591,2024-02-08T20:09:34.000000,8.3333,61.0,1563.0,44.77953,-121.25011
104,1594,2024-02-08T19:59:54.000000,22.2222,42.0,203.0,30.18414,-82.59433
105,1622,2024-02-08T20:10:04.000000,11.6667,54.0,1619.0,45.88722,-89.65111
106,1628,2024-02-08T15:26:04.000000,12.2222,50.0,445.0,31.69069,-87.76058
107,1646,2024-02-08T19:57:24.000000,-3.8889,91.0,8685.0,40.07844,-107.368
108,1674,2024-02-08T20:00:54.000000,4.4444,59.0,4133.0,34.01779,-116.18857
109,1693,2024-02-08T20:07:34.000000,16.6667,48.0,420.0,35.155,-88.32167
110,1695,2024-02-08T19:59:14.000000,9.4444,69.0,354.0,38.73836,-122.14469
111,1719,2024-02-08T20:04:04.000000,-4.4444,89.0,8509.0,38.11586,-111.32077
