dataId,pointId,timestamp,temperature,humidity,altitude
177,2680,2024-02-08T19:51:24.000000,11.1111,66.0,1400.0
178,2681,2024-02-08T15:44:44.000000,20.0,71.0,97.0
179,2709,2024-02-08T19:30:54.000000,9.4444,48.0,862.0
180,2730,2024-02-08T19:55:54.000000,0.5556,89.0,669.0
181,2761,2024-02-08T20:05:55.000000,10.0,34.0,2415.0
182,2786,2024-02-08T20:08:34.000000,20.5556,70.0,470.0
183,2791,2024-02-07T13:51:34.000000,-4.4444,100.0,7485.0
184,2814,2024-02-08T20:13:54.000000,3.3333,89.0,3704.0
185,2844,2024-02-08T19:36:04.000000,6.6667,70.0,2339.0
186,2857,2024-02-08T14:13:54.000000,2.2222,66.0,602.0
187,2862,2024-02-08T18:24:04.000000,12.7778,65.0,539.0
188,2865,2024-02-08T19:35:54.000000,12.2222,66.0,982.0
189,2869,2024-02-08T19:34:54.000000,17.7778,77.0,3.0
190,2870,2024-02-08T19:56:14.000000,17.7778,20.0,1180.0
191,2880,2024-02-08T19:38:54.000000,-1.1111,92.0,5510.0
192,2890,2024-02-08T19:50:34.000000,7.7778,65.0,4159.0
193,2918,2024-02-08T20:13:41.000000,2.2222,97.0,2535.0
194,2922,2024-02-08T20:17:31.000000,2.7778,57.0,6336.0
195,2958,2024-02-08T19:55:04.000000,0.5556,77.0,631.0
196,2962,2024-02-08T19:55:14.000000,-2.7778,74.0,5582.0
197,2990,2024-02-08T20:21:14.000000,-1.6667,94.0,6714.0
198,2999,2024-02-08T19:35:01.000000,-0.5556,81.0,4324.0
199,3030,2024-02-08T20:07:44.000000,5.5556,85.0,1950.0
200,3049,2024-02-08T20:11:34.000000,25.0,45.0,15.0
201,3053,2024-02-08T20:10:31.000000,0.0,0.0,1110.0
202,3063,2024-02-08T20:21:34.000000,-16.6667,72.0,740.0
203,3080,2024-02-08T19:32:31.000000,11.6667,61.0,1842.0
204,3089,2024-02-08T20:13:14.000000,12.7778,45.0,55.0
205,3098,2024-02-06T06:44:44.000000,3.3333,61.0,6938.0
206,3106,2024-02-08T20:20:24.000000,-1.6667,96.0,7030.0
207,3110,2024-02-08T19:30:34.000000,10.0,70.0,18.0
208,3188,2024-02-08T19:28:04.000000,3.8889,72.0,4225.0
209,3203,2024-02-08T19:53:51.000000,5.5556,56.0,2710.0
210,3211,2024-02-08T19:57:04.000000,14.4444,44.0,500.0
211,3215,2024-02-08T14:17:14.000000,11.1111,29.0,1353.0
212,3246,2024-02-08T19:42:14.000000,1.6667,68.0,5445.0
213,3256,2024-02-08T20:10:01.000000,13.8889,59.0,539.0
214,3258,2024-02-08T20:07:54.000000,10.0,76.0,830.0
215,3261,2024-02-08T20:21:33.000000,13.3333,33.0,4147.0
216,3275,2024-02-08T20:09:55.000000,0.5556,55.0,4300.0
217,3302,2024-02-08T15:50:34.000000,8.3333,100.0,255.0
218,3311,2024-02-08T16:06:54.000000,0.5556,99.0,3.0
219,3320,2024-02-08T19:31:14.000000,20.5556,51.0,135.0
220,3323,2024-02-08T19:57:54.000000,10.5556,58.0,1600.0
221,3326,2024-02-08T16:39:54.000000,19.4444,81.0,498.0
222,3331,2024-02-08T19:51:04.000000,7.2222,79.0,803.0
223,3358,2024-02-08T20:11:44.000000,27.2222,40.0,15.0
224,3366,2024-02-08T19:33:54.000000,3.8889,69.0,4002.0
225,3367,2024-02-08T20:21:37.000000,5.0,51.0,3852.0
226,3369,2024-02-08T19:37:19.000000,17.2222,20.0,2061.0
227,3377,2024-02-08T15:50:54.000000,9.4444,69.0,820.0
228,3408,2024-02-08T19:56:04.000000,16.6667,30.0,853.0
229,3418,2024-02-08T19:29:04.000000,8.3333,71.0,1820.0
230,3428,2024-02-08T20:09:24.000000,18.8889,60.0,22.0
231,3432,2024-02-08T20:08:44.000000,0.0,67.0,6099.0
232,3442,2024-02-08T19:56:44.000000,16.6667,29.0,935.0
233,3473,2024-02-08T20:06:34.000000,10.5556,64.0,813.0
234,3477,2024-02-08T19:46:54.000000,19.4444,56.0,50.0
235,3494,2024-02-08T20:15:34.000000,4.4444,72.0,2632.0
236,3503,2024-02-08T19:54:54.000000,8.8889,51.0,2600.0
237,3515,2024-02-08T14:17:04.000000,5.5556,53.0,2100.0
238,3545,2023-07-26T15:19:24.000000,21.1111,23.0,7121.0
239,3598,2024-02-08T20:14:04.000000,21.1111,52.0,156.0
240,3612,2024-02-08T20:08:34.000000,1.6667,83.0,3684.0
241,3621,2024-02-08T20:13:54.000000,18.8889,55.0,459.0
242,3631,2024-02-08T20:17:53.000000,20.0,68.0,3.0
243,3634,2024-02-08T19:56:54.000000,11.6667,56.0,1770.0
244,3689,2024-02-08T19:59:24.000000,20.5556,45.0,201.0
245,3692,2024-02-08T19:53:01.000000,-22.2222,71.0,650.0
246,3700,2024-02-08T19:42:14.000000,12.7778,58.0,1770.0
247,3701,2024-02-08T19:37:14.000000,23.3333,61.0,866.0
248,3707,2024-02-08T20:10:24.000000,15.5556,81.0,610.0
249,3726,2024-02-08T20:06:34.000000,13.8889,26.0,1635.0
250,3740,2024-02-08T20:08:54.000000,2.7778,65.0,2720.0
251,3751,2024-02-08T14:16:41.000000,3.3333,63.0,1190.0
252,3764,2024-02-08T19:56:34.000000,6.6667,76.0,2024.0
253,3772,2024-02-08T20:12:14.000000,7.7778,89.0,357.0
254,3794,2024-02-08T06:22:34.000000,0.0,92.0,1859.0
255,3826,1900-01-01T00:00:01.000000,18.8889,95.0,1400.0
256,3840,2024-02-08T14:17:34.000000,5.0,52.0,2725.0
257,3841,2024-02-08T20:19:04.000000,-3.3333,83.0,7332.0
258,3856,2024-02-08T20:03:14.000000,-1.1111,87.0,5543.0
259,3888,2024-02-08T19:37:54.000000,1.1111,79.0,5944.0
260,3891,2024-02-08T19:30:04.000000,3.8889,81.0,2680.0
261,3939,2024-02-08T19:29:14.000000,9.4444,65.0,599.0
262,3940,2024-02-08T19:28:14.000000,10.5556,69.0,476.0
263,3993,2024-02-08T14:18:14.000000,3.3333,66.0,625.0
264,3995,2024-02-08T14:59:54.000000,1.6667,68.0,1280.0
265,3996,2024-02-08T17:09:45.000000,26.1111,79.0,17.0
266,4039,2024-02-08T19:51:24.000000,6.1111,83.0,1059.0
267,4066,2024-02-08T19:31:34.000000,-1.1111,91.0,5476.0
268,4071,2024-02-08T19:49:04.000000,16.1111,50.0,5690.0
269,4074,2024-02-08T20:22:33.000000,-7.5,95.1,2486.0
270,4075,2024-02-08T19:39:43.000000,-7.1667,95.0,809.0
271,4080,2024-02-08T20:22:41.000000,-12.2222,0.0,4360.0
272,4081,2024-02-08T20:23:11.000000,-10.1667,90.4,3692.0
273,4082,2024-02-08T19:38:53.000000,-2.3889,86.3,518.0
274,4083,2024-02-08T19:39:23.000000,-6.8889,91.7,966.0
275,4085,2024-02-08T20:12:14.000000,10.0,38.0,1608.0
276,4086,2024-02-08T19:33:03.000000,-9.5556,50.4,5240.0
277,4088,2024-02-08T20:22:51.000000,-13.2222,90.0,4107.0
278,4089,2024-02-08T19:39:33.000000,-8.9444,93.8,1823.0
279,4090,2024-02-08T19:39:53.000000,-6.7222,75.1,2062.0
280,4093,2024-02-08T20:23:01.000000,-10.8889,91.4,3135.0
281,4094,2024-02-08T19:38:33.000000,-8.2222,89.4,1201.0
282,4097,2024-02-08T20:00:45.000000,0.5556,95.0,3398.0
283,4098,2024-02-08T19:35:49.000000,12.7778,27.0,668.0
284,4099,2024-02-08T20:09:25.000000,5.0,87.0,1630.0
285,4106,2024-02-08T19:49:04.000000,6.6667,49.0,6650.0
286,4110,2024-02-08T19:33:14.000000,-4.2778,44.2,3653.0
287,4112,2024-02-08T19:38:04.000000,10.0,63.0,1707.0
288,4115,2024-02-08T19:45:04.000000,10.0,74.0,477.0
289,4120,2024-02-08T19:33:53.000000,-8.7778,53.7,4060.0
290,4121,2024-02-08T20:01:35.000000,19.4444,63.0,2808.0
291,4124,2024-02-08T19:33:31.000000,-5.4444,56.6,2920.0
292,4126,2024-02-08T19:32:51.000000,-9.0,51.0,4544.0
293,4128,2024-02-08T15:48:54.000000,8.3333,34.0,2060.0
294,4130,2024-02-08T19:33:43.000000,-10.1667,92.8,3739.0
295,4131,2024-02-08T19:53:24.000000,3.8889,95.0,4930.0
296,4136,2024-02-08T19:42:14.000000,11.1111,31.0,886.0
297,4137,2024-02-08T19:32:33.000000,-8.5,66.9,1782.0
298,4139,2024-02-08T20:00:35.000000,1.6667,96.0,2305.0
