dataId,pointId,timestamp,temperature,humidity,altitude,latitude,longitude
154,52.52_13.41,2024-03-09T09:00:00.000000,5.6584997,78.20335,38.0,52.52,13.41
155,52.52_13.41,2024-03-09T10:00:00.000000,7.5084996,73.40723,38.0,52.52,13.41
156,52.52_13.41,2024-03-09T11:00:00.000000,9.0085,63.318695,38.0,52.52,13.41
157,52.52_13.41,2024-03-09T12:00:00.000000,9.2085,60.93357,38.0,52.52,13.41
158,52.52_13.41,2024-03-09T13:00:00.000000,9.3585005,59.892937,38.0,52.52,13.41
159,52.52_13.41,2024-03-09T14:00:00.000000,8.8585005,68.41471,38.0,52.52,13.41
160,52.52_13.41,2024-03-09T15:00:00.000000,9.1085005,70.172615,38.0,52.52,13.41
161,52.52_13.41,2024-03-09T16:00:00.000000,8.5085,74.36718,38.0,52.52,13.41
162,52.52_13.41,2024-03-09T17:00:00.000000,7.2584996,79.56083,38.0,52.52,13.41
163,52.52_13.41,2024-03-09T18:00:00.000000,5.7085,86.36238,38.0,52.52,13.41
164,52.52_13.41,2024-03-09T19:00:00.000000,5.2085,87.53921,38.0,52.52,13.41
165,52.52_13.41,2024-03-09T20:00:00.000000,4.5585,89.0418,38.0,52.52,13.41
166,52.52_13.41,2024-03-09T21:00:00.000000,4.3085,89.654495,38.0,52.52,13.41
167,52.52_13.41,2024-03-09T22:00:00.000000,4.1085,90.59797,38.0,52.52,13.41
168,52.52_13.41,2024-03-09T23:00:00.000000,3.9585001,90.90923,38.0,52.52,13.41
169,52.52_13.41,2024-03-10T00:00:00.000000,3.8085,91.54676,38.0,52.52,13.41
170,52.52_13.41,2024-03-10T01:00:00.000000,3.7085001,90.24713,38.0,52.52,13.41
171,52.52_13.41,2024-03-10T02:00:00.000000,3.6585,90.56522,38.0,52.52,13.41
172,52.52_13.41,2024-03-10T03:00:00.000000,3.5585,90.557915,38.0,52.52,13.41
173,52.52_13.41,2024-03-10T04:00:00.000000,3.3585,90.86688,38.0,52.52,13.41
174,52.52_13.41,2024-03-10T05:00:00.000000,3.1585,91.503914,38.0,52.52,13.41
175,52.52_13.41,2024-03-10T06:00:00.000000,3.3085,91.188065,38.0,52.52,13.41
176,52.52_13.41,2024-03-10T07:00:00.000000,5.0084996,85.37826,38.0,52.52,13.41
177,52.52_13.41,2024-03-10T08:00:00.000000,6.9585,80.64318,38.0,52.52,13.41
178,52.52_13.41,2024-03-10T09:00:00.000000,9.0585,73.68845,38.0,52.52,13.41
179,52.52_13.41,2024-03-10T10:00:00.000000,10.7585,68.5688,38.0,52.52,13.41
180,52.52_13.41,2024-03-10T11:00:00.000000,11.6085005,62.813187,38.0,52.52,13.41
181,52.52_13.41,2024-03-10T12:00:00.000000,11.9585,60.95268,38.0,52.52,13.41
182,52.52_13.41,2024-03-10T13:00:00.000000,11.8085,63.298824,38.0,52.52,13.41
183,52.52_13.41,2024-03-10T14:00:00.000000,11.7585,63.72927,38.0,52.52,13.41
184,52.52_13.41,2024-03-10T15:00:00.000000,11.4585,65.9148,38.0,52.52,13.41
185,52.52_13.41,2024-03-10T16:00:00.000000,10.5085,68.99588,38.0,52.52,13.41
186,52.52_13.41,2024-03-10T17:00:00.000000,10.158501,68.20611,38.0,52.52,13.41
187,52.52_13.41,2024-03-10T18:00:00.000000,9.6085005,73.02116,38.0,52.52,13.41
188,52.52_13.41,2024-03-10T19:00:00.000000,9.7585,73.81411,38.0,52.52,13.41
189,52.52_13.41,2024-03-10T20:00:00.000000,9.7085,72.53297,38.0,52.52,13.41
190,52.52_13.41,2024-03-10T21:00:00.000000,10.1085005,71.10948,38.0,52.52,13.41
191,52.52_13.41,2024-03-10T22:00:00.000000,10.1085005,72.60725,38.0,52.52,13.41
192,52.52_13.41,2024-03-10T23:00:00.000000,9.7085,77.20564,38.0,52.52,13.41
193,52.52_13.41,2024-03-11T00:00:00.000000,9.5585,80.44579,38.0,52.52,13.41
194,52.52_13.41,2024-03-11T01:00:00.000000,8.8585005,81.74964,38.0,52.52,13.41
195,52.52_13.41,2024-03-11T02:00:00.000000,8.3085,86.02901,38.0,52.52,13.41
196,52.52_13.41,2024-03-11T03:00:00.000000,8.2085,87.21406,38.0,52.52,13.41
197,52.52_13.41,2024-03-11T04:00:00.000000,8.5085,85.753716,38.0,52.52,13.41
198,52.52_13.41,2024-03-11T05:00:00.000000,8.8085,85.78523,38.0,52.52,13.41
199,52.52_13.41,2024-03-11T06:00:00.000000,8.8085,86.972115,38.0,52.52,13.41
200,52.52_13.41,2024-03-11T07:00:00.000000,9.0585,87.29474,38.0,52.52,13.41
201,52.52_13.41,2024-03-11T08:00:00.000000,9.7085,85.87921,38.0,52.52,13.41
202,52.52_13.41,2024-03-11T09:00:00.000000,11.0585,82.03583,38.0,52.52,13.41
203,52.52_13.41,2024-03-11T10:00:00.000000,12.1085005,77.58335,38.0,52.52,13.41
204,52.52_13.41,2024-03-11T11:00:00.000000,12.658501,71.110565,38.0,52.52,13.41
205,52.52_13.41,2024-03-11T12:00:00.000000,13.658501,65.04425,38.0,52.52,13.41
206,52.52_13.41,2024-03-11T13:00:00.000000,12.8085,67.354,38.0,52.52,13.41
207,52.52_13.41,2024-03-11T14:00:00.000000,13.1085005,63.15991,38.0,52.52,13.41
208,52.52_13.41,2024-03-11T15:00:00.000000,12.908501,63.11391,38.0,52.52,13.41
209,52.52_13.41,2024-03-11T16:00:00.000000,12.2585,73.00178,38.0,52.52,13.41
210,52.52_13.41,2024-03-11T17:00:00.000000,8.5585,81.427475,38.0,52.52,13.41
211,52.52_13.41,2024-03-11T18:00:00.000000,7.5585,83.59337,38.0,52.52,13.41
212,52.52_13.41,2024-03-11T19:00:00.000000,6.4585,85.236305,38.0,52.52,13.41
213,52.52_13.41,2024-03-11T20:00:00.000000,6.1584997,84.904465,38.0,52.52,13.41
214,52.52_13.41,2024-03-11T21:00:00.000000,6.0585,85.49239,38.0,52.52,13.41
215,52.52_13.41,2024-03-11T22:00:00.000000,5.1085,87.52978,38.0,52.52,13.41
216,52.52_13.41,2024-03-11T23:00:00.000000,4.1584997,89.008224,38.0,52.52,13.41
217,52.52_13.41,2024-03-12T00:00:00.000000,3.7085001,90.89162,38.0,52.52,13.41
218,52.52_13.41,2024-03-12T01:00:00.000000,4.3585,89.025024,38.0,52.52,13.41
219,52.52_13.41,2024-03-12T02:00:00.000000,4.0085,90.26968,38.0,52.52,13.41
220,52.52_13.41,2024-03-12T03:00:00.000000,3.6585,91.86284,38.0,52.52,13.41
221,52.52_13.41,2024-03-12T04:00:00.000000,5.2085,85.70282,38.0,52.52,13.41
222,52.52_13.41,2024-03-12T05:00:00.000000,3.6585,92.18981,38.0,52.52,13.41
223,52.52_13.41,2024-03-12T06:00:00.000000,3.9085,94.85302,38.0,52.52,13.41
224,52.52_13.41,2024-03-12T07:00:00.000000,5.6584997,90.07612,38.0,52.52,13.41
